,href,ppl,abv_raw,abv,ppl_int,price_per_unit,beer_name
14,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-beers/corona-lager-beer-cans-6x330ml,£2.52 / ltr,Alcohol by volume: 4.5%,4.5,2.52,0.56,corona-lager-beer-cans-6x330ml
15,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-beers/crabbies-original-ginger-beer-500ml,£3.40 / ltr,"Alcohol by volume: 4.0%
Alcoholic content: 2 units",4.0,3.4,0.85,crabbies-original-ginger-beer-500ml
16,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-beers/erdinger-weissbier-wheat-beer-bottle-500ml,£3.40 / ltr,"Alcohol by volume: 5.3%
Serving suggestion: Classic wheat beer blends gently spicy malt aromas with mildly bitter hops. Its secret lies in our unique Erdinger brewing yeasts. They provide the fruity notes and unmistakably fresh flavour. The finishing touch for every Erdinger Weissbier is a further specialty: the “Bayerische Edelreifung” or double maturity method. After the main fermentation process, we give our beer the time it needs to mature a second time in the bottle. And we are happy to give it this time. Because this allows its delicious lively nature and the harmonious interplay of its various aromas to fully unfold",5.3,3.4,0.6415094339622641,erdinger-weissbier-wheat-beer-bottle-500ml
17,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-beers/estrella-damm-12x330ml,£3.03 / ltr,"Alcohol by volume: 4.6%
Serving suggestion: Light amber and golden bright beer, with a pale and persistent head. Complex and delicate aroma. The bitterness and tasty palate characterized by the cereal notes produce a very refreshing finish",4.6,3.03,0.658695652173913,estrella-damm-12x330ml
18,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-beers/fosters-lager-18x440ml,£1.51 / ltr,Alcohol by volume: 4.0%,4.0,1.51,0.3775,fosters-lager-18x440ml
19,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-beers/greene-king-abbot-ale-4x500ml,£2.63 / ltr,Alcohol by volume: 5%,5,2.63,0.526,greene-king-abbot-ale-4x500ml
20,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-beers/guinness-draught-stout-10x440ml,£3.07 / ltr,"Alcohol by volume: 4%
Serving suggestion: The union of sweet malt, bitter hops and roasted barley give Guinness Draught its unique, characteristic flavour, with hints of coffee and chocolate aromas.
Smooth. Creamy. Perfectly balanced finish.
Alcoholic content: 0.18 units",4,3.07,0.7675,guinness-draught-stout-10x440ml
21,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-beers/guinness-draught-stout-4x440ml,£2.70 / ltr,"Alcohol by volume: 4%
Serving suggestion: Perfect with food. Or without. Guinness Draught is an ideal accompaniment to good friends. And good times
Alcoholic content: 1.8 units",4,2.7,0.675,guinness-draught-stout-4x440ml
22,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-beers/guinness-original-stout-500ml,£3.60 / ltr,"Alcohol by volume: 4.2%
Serving suggestion: Still brewed at our St. James's Gate brewery in Dublin, Guinness Original is crafted from finest quality malt, hops and Irish barley. Sharp and crisp to the taste, it's an entirely different experience from the smooth, creamy Guinness Draught",4.2,3.6,0.8571428571428571,guinness-original-stout-500ml
23,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-beers/heineken-12x330ml,£2.27 / ltr,Alcohol by volume: 5%,5,2.27,0.454,heineken-12x330ml
24,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-beers/heineken-silver-beer-lager-bottles-12x330ml,£3.16 / ltr,"Alcohol by volume: 4%
Alcoholic content: 1.3 units",4,3.16,0.79,heineken-silver-beer-lager-bottles-12x330ml
25,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-beers/henry-westons-vintage-cider-4x500ml,£3.75 / ltr,"Alcohol by volume: 8.2%
Serving suggestion: Smooth & Rounded Medium Dry Cider
Alcoholic content: 4.1 units",8.2,3.75,0.4573170731707317,henry-westons-vintage-cider-4x500ml
26,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-beers/kopparberg-strawberry---lime-10x330ml,£3.03 / ltr,"Alcohol by volume: 4.0%
Serving suggestion: Apple cider infused with strawberry and lime delivers a fruity taste with an unmistakable Strawberry aroma",4.0,3.03,0.7575,kopparberg-strawberry---lime-10x330ml
27,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-beers/kronenbourg-1664-15x275ml,£2.97 / ltr,"Alcohol by volume: 5.0%
Serving suggestion: Brewed with the unique aromatic strisselspalt hops from alsace",5.0,2.97,0.5940000000000001,kronenbourg-1664-15x275ml
28,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-beers/kronenbourg-1664-premium-beer-15-x-440ml-7961376-p,£1.51 / ltr,Alcohol by volume: 5.0%,5.0,1.51,0.302,kronenbourg-1664-premium-beer-15-x-440ml-7961376-p
